timestamp,wind speed [m/s],temperature [C],power [kW]
2003-01-01 00:00:00,9.936746,-15.17629,1078.6326
2003-01-01 00:10:00,10.309472,-15.734458,1139.8743
2003-01-01 00:20:00,10.439979,-15.902314,1157.5798
2003-01-01 00:30:00,10.25848,-15.576872,1121.4619
2003-01-01 00:40:00,9.982539,-15.090024,1069.9126
2003-01-01 00:50:00,9.6422615,-14.480959,1010.43384
2003-01-01 01:00:00,9.423761,-14.015489,975.6454
2003-01-01 01:10:00,9.480166,-13.910024,991.9286
2003-01-01 01:20:00,9.721272,-14.024921,1043.7279
2003-01-01 01:30:00,10.105337,-14.30866,1122.6637
2003-01-01 01:40:00,10.513423,-14.595831,1207.7219
2003-01-01 01:50:00,10.831824,-14.746981,1278.4296
2003-01-01 02:00:00,10.92254,-14.581913,1310.5547
2003-01-01 02:10:00,10.900714,-14.289234,1322.518
2003-01-01 02:20:00,10.880996,-14.044012,1332.7589
2003-01-01 02:30:00,10.892085,-13.879324,1344.3097
2003-01-01 02:40:00,11.0452,-13.952873,1374.5289
2003-01-01 02:50:00,11.183249,-14.010399,1395.185
2003-01-01 03:00:00,11.329018,-14.087046,1409.0092
2003-01-01 03:10:00,11.411196,-14.063414,1404.0941
2003-01-01 03:20:00,11.342286,-13.836963,1366.2458
2003-01-01 03:30:00,11.215681,-13.553387,1313.4784
2003-01-01 03:40:00,11.082306,-13.302824,1256.6719
2003-01-01 03:50:00,10.89968,-13.037842,1191.6893
2003-01-01 04:00:00,10.700575,-12.776774,1125.8848
2003-01-01 04:10:00,10.533214,-12.599971,1068.6158
2003-01-01 04:20:00,10.388861,-12.47169,1018.5299
2003-01-01 04:30:00,10.243558,-12.338981,970.2875
2003-01-01 04:40:00,10.117536,-12.226617,926.29675
2003-01-01 04:50:00,10.037099,-12.172569,889.8753
2003-01-01 05:00:00,9.909658,-12.044243,845.49316
2003-01-01 05:10:00,9.788313,-11.930662,801.6533
2003-01-01 05:20:00,9.634723,-11.798645,753.7571
2003-01-01 05:30:00,9.395491,-11.589571,694.4456
2003-01-01 05:40:00,9.146617,-11.430552,636.94214
2003-01-01 05:50:00,8.853356,-11.270012,575.801
2003-01-01 06:00:00,8.538078,-11.129179,513.62585
2003-01-01 06:10:00,8.216798,-11.030117,453.01862
2003-01-01 06:20:00,7.859787,-10.9135065,388.88495
2003-01-01 06:30:00,7.4815187,-10.791359,323.287
2003-01-01 06:40:00,7.091729,-10.667097,258.6872
2003-01-01 06:50:00,6.711095,-10.554635,197.04373
2003-01-01 07:00:00,6.3567667,-10.462443,141.42282
2003-01-01 07:10:00,6.046269,-10.3936825,93.79551
